county_fips,county,total_population,total_pop18plus,coronary_heart_disease,diabetes,high_blood_pressure,obesity,smoking,uninsured,svi_county,svi_location,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur,ep_age65,ep_disabl,ep_minrty,ep_limeng,ep_noveh,ep_groupq
48071,Chambers,53876,38951,5.25,10.75,48.525,34.8,13.25,15.95,Chambers County,"Chambers County, Texas",0.4798,0.5663,0.5148,0.7391,0.1938,17.6,7.5,10.8,15.9,12.1,10.9,36.3,2.7,2.5,0.5
48073,Cherokee,52217,39032,7.05,13.649999999999999,52.225,35.8,17.1,19.4,Cherokee County,"Cherokee County, Texas",0.9717,0.9306,0.9259,0.7941,0.9551,30.6,5.8,21.1,20.8,17.7,12.6,41.1,4.6,6.1,6.8
48075,Childress,6788,5492,6.1,12,49.6,36.7,15.3,21.200000000000003,Childress County,"Childress County, Texas",0.7178,0.9408,0.5759,0.867,0.1451,32.5,8.6,18,20.3,13.9,16.3,49.2,2.1,2.1,21.4
48077,Clay,10738,8542,6.7,11.5,51.875,34.849999999999994,14.45,11.75,Clay County,"Clay County, Texas",0.1772,0.161,0.602,0.363,0.1044,16.4,1.8,7.1,15.8,22.3,20.5,12.3,0.7,3.3,0.8
48079,Cochran,2509,1832,8.3,17.85,53.099999999999994,42.7,19.35,32.7,Cochran County,"Cochran County, Texas",0.938,0.9135,0.8928,0.9481,0.8005,43.2,7.1,30.6,19.3,16.8,18.2,67,10.6,6,6.2
48081,Coke,3352,2630,7.9,13.850000000000001,53.599999999999994,36.65,15.75,17.35,Coke County,"Coke County, Texas",0.6379,0.6885,0.9287,0.6268,0.1715,29.5,3,14,12.7,27.2,19.2,26.6,1.6,3.6,3.1
48083,Coleman,7842,6188,7.5,13.350000000000001,53.375,37.2,15.75,15.15,Coleman County,"Coleman County, Texas",0.6449,0.692,0.9055,0.5994,0.2154,25.6,6.3,11.8,25,25.5,21,24.5,2.2,6.8,0.8
48085,Collin,1195359,903972,4.3,9.3,48.275,31.95,9.15,10.2,Collin County,"Collin County, Texas",0.2997,0.2393,0.3598,0.8543,0.2358,11.3,4.2,5.6,10.1,11.2,7.5,47.3,3.7,2.9,0.6
48087,Collingsworth,2563,1897,7.35,14.1,52.725,39.2,16.5,20.7,Collingsworth County,"Collingsworth County, Texas",0.8498,0.6793,0.9984,0.7725,0.4913,30.8,2.8,22.2,30.3,20.4,15.7,39.2,2.8,4,2.5
48089,Colorado,21117,16091,6.7,13.25,52.775000000000006,36.45,13.85,18.25,Colorado County,"Colorado County, Texas",0.7639,0.6214,0.6586,0.8352,0.7951,22.2,5.7,15.6,15,22.3,14.2,45.4,2.8,5.6,1.7
48091,Comal,193928,151068,5.25,10.2,49.45,34.75,10.45,13.25,Comal County,"Comal County, Texas",0.2749,0.2374,0.37,0.7276,0.2189,12.2,3.7,6.4,11.2,18.3,14.4,35.3,1.8,2.5,0.7
48093,Comanche,14050,10881,7.2,13.100000000000001,52.400000000000006,36.900000000000006,14.8,18.700000000000003,Comanche County,"Comanche County, Texas",0.7267,0.7642,0.8772,0.7038,0.301,22,7.3,15.4,17.5,23.5,19.1,33.1,3.7,4.3,1.4
48095,Concho,3297,2894,6.949999999999999,13.45,51.675,37.400000000000006,16.05,23.85,Concho County,"Concho County, Texas",0.7534,0.3936,0.9857,0.8403,0.6182,21.8,2.3,25.1,10,24.5,21.6,45.8,14.6,4.3,25.3
48097,Cooke,43782,33539,6.45,11.9,51.275,36.150000000000006,14.65,15.6,Cooke County,"Cooke County, Texas",0.6946,0.5453,0.8486,0.6287,0.6214,20.3,3.9,11.2,15,18.9,13.7,26.8,3.6,4.8,1.5
48099,Coryell,84878,65792,5.2,10.9,48.375,37.65,14.35,15.75,Coryell County,"Coryell County, Texas",0.833,0.7757,0.7528,0.819,0.7626,21.4,7.1,10,12.4,10.7,19.4,44,1.4,4.2,19.2
48101,Cottle,1294,1043,8.5,16.35,55.425,40.55,17.700000000000003,20.6,Cottle County,"Cottle County, Texas",0.6732,0.6828,0.9294,0.7843,0.1864,38.9,4.1,18.1,10.5,21.9,27.8,40.1,0,7.9,0
48103,Crane,4574,3247,6.25,14.75,49.8,39.85,14.4,30.75,Crane County,"Crane County, Texas",0.7092,0.4747,0.4012,0.9625,0.916,18.9,3,25,22,14,5.7,71.1,10.7,9.5,2.6
48105,Crockett,2858,2119,6.800000000000001,14.95,50.925,37.650000000000006,14.350000000000001,28.9,Crockett County,"Crockett County, Texas",0.4098,0.3745,0.7305,0.9141,0.0913,15.4,2,28.1,18.1,23.5,12.6,59,5.4,0,2.1
48107,Crosby,4917,3652,7.5,15.850000000000001,52.65,40.75,16.15,27.75,Crosby County,"Crosby County, Texas",0.9504,0.8438,0.9997,0.9303,0.6048,33.8,4.9,22.2,20,18.4,21.4,62.1,3.4,6.1,1.7
48109,Culberson,2196,1675,7.699999999999999,17.75,52.925,40.55,16.5,31.65,Culberson County,"Culberson County, Texas",0.8393,0.826,0.7986,0.9917,0.5527,28.7,10.1,23.6,14.5,21.7,23.9,88.6,6.4,10.7,1.9
48111,Dallam,7237,4733,6.7,14.649999999999999,50.4,39.650000000000006,16.95,27.45,Dallam County,"Dallam County, Texas",0.6039,0.6637,0.2568,0.8842,0.5313,29.8,2.6,22,25.3,9.5,10.5,52.8,11.8,3.4,0.6
48113,Dallas,2606358,1960720,5.35,12.5,50.1,35.7,12.5,20.6,Dallas County,"Dallas County, Texas",0.8925,0.9271,0.7184,0.9685,0.7171,24.3,4.9,18.9,21.6,11.2,10.2,72.6,10.1,6.7,1.2
48115,Dawson,12004,9004,6.95,15.3,50.8,39.7,17.35,29.85,Dawson County,"Dawson County, Texas",0.9876,0.9981,0.9338,0.9551,0.7709,40,9.5,29.8,19.9,14.1,16.4,68.7,3.2,8.3,14.5
48117,Deaf Smith,18347,12613,6.949999999999999,16.2,50.675,41,15.9,34.900000000000006,Deaf Smith County,"Deaf Smith County, Texas",0.7245,0.6615,0.8206,0.9793,0.3885,32.5,2.1,27.8,23.2,12.9,8.2,77.8,8.3,3.4,1.1
48119,Delta,5520,4187,6.8,12.3,52.125,37.05,16.05,13.7,Delta County,"Delta County, Texas",0.3665,0.5985,0.4101,0.5597,0.0818,23.5,6.4,10.8,7,20.3,17.2,22.1,0.5,3.3,1.2
48121,Denton,1007703,775771,4.35,9.75,47.025,33.45,9.65,11.3,Denton County,"Denton County, Texas",0.3796,0.3051,0.3684,0.825,0.3357,12.1,4,6.7,10.9,10.9,8.8,44.4,3.3,3.1,1.3
48123,DeWitt,19929,15349,7.199999999999999,14.55,52.875,37.55,16.05,21.75,DeWitt County,"DeWitt County, Texas",0.8441,0.7887,0.5418,0.8508,0.9096,26.6,5.2,15.9,17.3,19.6,16.6,46.7,2,7.7,9.7
48125,Dickens,1711,1399,7.85,14.45,53.925000000000004,37.8,15.5,19.5,Dickens County,"Dickens County, Texas",0.7588,0.8431,0.9446,0.7938,0.1508,27.4,9.7,14.5,14.8,23.9,20.2,41,1.6,5.3,4.8
48127,Dimmit,8257,5890,9.2,22.45,54.925,47.25,19.4,41.35,Dimmit County,"Dimmit County, Texas",0.9994,0.9812,0.9971,0.994,0.9631,60.9,4.7,27.2,17.3,17,18.3,90.3,4.9,14.9,1.7
48129,Donley,3214,2573,7.1,12.45,52.375,35.05,15.15,15,Donley County,"Donley County, Texas",0.3353,0.4957,0.0608,0.5711,0.4006,20.6,0,15.5,17.2,23.8,9.3,22.7,0.1,3.7,10.7
48131,Duval,9604,7139,7.5,17.9,52.05,41.7,15.3,35.65,Duval County,"Duval County, Texas",0.9768,0.8925,0.9841,0.9936,0.9045,32.6,8.4,26.6,20.2,15.8,20.8,90.1,4.2,10.2,5.5
48133,Eastland,18037,14154,7.1499999999999995,12.75,52.025000000000006,35.85,16.05,16.3,Eastland County,"Eastland County, Texas",0.8616,0.7467,0.9131,0.5679,0.8797,26.4,4.9,14.6,16.2,21.6,19.2,22.6,1.7,6.3,5.5
48135,Ector,164494,114193,5.6,13.2,47.875,40.05,14.2,27.9,Ector County,"Ector County, Texas",0.9421,0.9364,0.7906,0.9618,0.8645,24.7,5.8,23.2,21.8,9.5,10.2,71,6.7,5.2,1.2
48137,Edwards,1393,1097,8.5,16.5,54.525,38.55,15.3,26.25,Edwards County,"Edwards County, Texas",0.6844,0.8492,0.8008,0.8756,0.1079,40.9,0,25.6,25.9,22,14.3,50.8,4.9,3,2.5
48139,Ellis,222829,164247,5.199999999999999,11.25,49.75,37.05,12.55,15.8,Ellis County,"Ellis County, Texas",0.5695,0.4801,0.755,0.8171,0.3522,14.7,3.9,11.7,16.1,12.9,12,43.8,3.2,2.9,0.9
48141,El Paso,869880,646273,5.699999999999999,15.350000000000001,50.05,34.2,12.3,29.05,El Paso County,"El Paso County, Texas",0.9825,0.9898,0.9182,0.992,0.8145,31.8,6.8,20,21.8,12.5,13.9,88.8,13.1,6.5,1.6
48143,Erath,44195,35075,5.75,10.9,48.5,34.599999999999994,13.7,15.05,Erath County,"Erath County, Texas",0.7996,0.9061,0.1454,0.6316,0.9198,27.6,5.6,12.9,14.8,14.2,12.9,27,3.5,4.1,6.3
48145,Falls,17286,13585,7.3,14.950000000000001,54.05,40.15,17.25,19.75,Falls County,"Falls County, Texas",0.972,0.9803,0.5132,0.8734,0.992,36,7.4,17.5,16.9,18.7,18.7,50.4,1.6,8.9,11.1
48147,Fannin,37571,29614,6.75,12.3,51.525000000000006,39.150000000000006,16.65,15.600000000000001,Fannin County,"Fannin County, Texas",0.643,0.7047,0.3519,0.5759,0.6713,23.7,4.7,14.3,15.6,18.1,15.2,23,1.7,3.2,8.6
48149,Fayette,25474,20303,6.55,11.95,51.975,34.15,12.600000000000001,14.8,Fayette County,"Fayette County, Texas",0.5234,0.3471,0.5883,0.6685,0.6185,17.2,3.5,10.1,11,26.1,15.6,30.2,2,4.8,2
48151,Fisher,3612,2830,6.7,12.65,52.225,36.1,13.600000000000001,16.2,Fisher County,"Fisher County, Texas",0.4248,0.328,0.9644,0.7735,0.0433,19,2.9,13.8,13,23.1,18.1,39.3,3,5.6,1.1
48153,Floyd,5090,3788,7.4,15.7,52.175,39.400000000000006,15.45,28.200000000000003,Floyd County,"Floyd County, Texas",0.7722,0.7865,0.9895,0.9405,0.1024,29.4,4.1,28.8,24.3,18.3,15.6,64.2,6.4,10.2,0.6
48155,Foard,1079,854,8.95,15.899999999999999,55.550000000000004,40.55,18.6,19.1,Foard County,"Foard County, Texas",0.6071,0.9335,0.4257,0.6936,0.0951,34.9,5.9,19.6,12.1,30.3,19.8,32.1,0.1,5.4,3.7
48157,Fort Bend,916778,674906,4.5,11.55,49.45,29.75,9.65,12.8,Fort Bend County,"Fort Bend County, Texas",0.4515,0.3824,0.5431,0.959,0.2393,12.7,5.2,8.5,11.8,11.8,7.3,69.7,5,2.8,0.7
48159,Franklin,10735,8409,6.4,11.45,51.475,35.4,13.3,12.95,Franklin County,"Franklin County, Texas",0.3821,0.3863,0.79990000000000006,0.5797,0.0964,11.6,6.5,8.5,15.2,22.1,16.4,23.3,2.2,1.9,0.9
48161,Freestone,20441,15822,6.95,13.3,53.4,38.2,16.1,16.5,Freestone County,"Freestone County, Texas",0.8088,0.6297,0.9418,0.7321,0.6917,25.6,3.5,15,11.4,19.9,19.8,35.8,1.3,3.3,7.3
48163,Frio,17987,13345,6.4,15.9,49.125,41,15.35,36.75,Frio County,"Frio County, Texas",0.9698,0.832,0.8498,0.9876,0.9965,30.2,2.6,30,14.3,12.6,15.1,84.8,9.6,10.9,18.7
48165,Gaines,22523,14406,5.75,12.05,47.275,36.3,16.549999999999997,25.700000000000003,Gaines County,"Gaines County, Texas",0.6745,0.5985,0.7836,0.8403,0.4429,21.5,3.4,39.6,29.5,8.9,12.1,45.8,6.9,4.1,0.7
48167,Galveston,361744,277060,5.5,11.55,50.65,33.9,12.3,15.25,Galveston County,"Galveston County, Texas",0.7378,0.7028,0.6172,0.8304,0.6551,18.3,5.9,10.3,13.8,14.9,12.9,44.9,3,5.4,1.7
48169,Garza,4517,3597,6.800000000000001,14.7,50.225,39.9,16.9,30.95,Garza County,"Garza County, Texas",0.6984,0.8447,0.2456,0.9185,0.4925,26,9.9,30,16.3,16.8,18.1,59.7,13.6,6.3,24.3
48171,Gillespie,27733,22412,6.65,11.55,52.125,33.25,11.5,14.399999999999999,Gillespie County,"Gillespie County, Texas",0.6392,0.5472,0.6379,0.636,0.6513,14.3,3.5,11.3,17.9,29,14.7,27.5,4.5,5.5,1.2
48173,Glasscock,1141,853,5.2,10.4,48.349999999999994,33.8,10.7,15.600000000000001,Glasscock County,"Glasscock County, Texas",0.2784,0.2536,0.5625,0.7366,0.1187,10.1,1.3,13.9,22.5,12.7,9.4,36.1,7.5,1.2,0
48175,Goliad,7144,5744,7.1,13.6,52.575,37.05,14.45,18.700000000000003,Goliad County,"Goliad County, Texas",0.5243,0.5033,0.574,0.8066,0.3198,21.4,4.8,15.5,11.2,23.9,16,42.7,2.2,8.6,1.6
48177,Gonzales,19930,14670,7.1,14.85,52.225,39.599999999999994,15.950000000000001,26.35,Gonzales County,"Gonzales County, Texas",0.9087,0.6567,0.978,0.9195,0.8956,24,1,22.6,18.9,16.9,16.4,59.9,6.6,8.3,1.7
48179,Gray,20916,15662,6.8,13.15,51.5,38.5,16.45,20.3,Gray County,"Gray County, Texas",0.8645,0.9268,0.8346,0.7684,0.5593,28.7,5.4,18.4,19.5,16.1,13.3,38.9,4.3,3.2,7.7
48181,Grayson,146907,111562,6.1,11.55,50.4,33.9,14.5,14,Grayson County,"Grayson County, Texas",0.6888,0.5905,0.7989,0.6249,0.588,19.7,3.9,9.6,16.6,17.9,13.8,26.5,2.4,3.8,1.7
48183,Gregg,126243,93766,6.300000000000001,12.9,52.125,37,15.5,16.5,Gregg County,"Gregg County, Texas",0.8731,0.7677,0.8444,0.8212,0.8565,25.6,3.7,13.6,17,15.7,13.1,44.2,2.7,5.2,3.7
48185,Grimes,32384,25008,6.8,13.350000000000001,52.2,37.1,15.8,18.85,Grimes County,"Grimes County, Texas",0.8676,0.8377,0.7786,0.8008,0.7836,24.7,5.6,19.2,18.2,18.2,14.4,41.9,3.4,3.2,11.8
48187,Guadalupe,188454,143773,5.3,12.2,49.925,34.55,12.5,17.3,Guadalupe County,"Guadalupe County, Texas",0.5256,0.3939,0.643,0.8797,0.4031,16.4,4.3,10.9,11.5,14.2,13.7,51.9,2.8,2.7,1.1
48189,Hale,31761,23506,6.85,15.3,51.025,39.2,15.9,29.1,Hale County,"Hale County, Texas",0.9332,0.9176,0.8921,0.9532,0.7744,32.1,4.7,25.2,22.3,13.9,12.3,68.3,6.4,3.7,7.3
48191,Hall,2818,2210,8,15.55,54.275,39.55,15.95,22.15,Hall County,"Hall County, Texas",0.8689,0.8527,0.9943,0.8438,0.2969,32.3,7.5,18.2,21.2,22.5,17.7,46,3.6,3.3,2.3
48193,Hamilton,8619,6752,7.4,12.8,53.05,36.35,15.65,15.1,Hamilton County,"Hamilton County, Texas",0.6634,0.6029,0.9637,0.4763,0.314,27.5,2.8,10.7,15.1,25.8,20,17.2,3.2,3.4,3.3
48195,Hansford,5071,3618,6.300000000000001,12.95,49.825,37.099999999999994,13.85,23.7,Hansford County,"Hansford County, Texas",0.4836,0.6036,0.3859,0.8781,0.1839,21.3,4.3,27.8,17,13.6,11.9,51.5,8.2,4.7,1.4
48197,Hardeman,3490,2702,7.35,13.55,52.85,37.8,16.15,17.95,Hardeman County,"Hardeman County, Texas",0.4222,0.3952,0.874,0.735,0.0668,21.3,2.5,15,14.9,20,21.4,35.9,4.6,4.1,0.9
48199,Hardin,58261,43697,6.199999999999999,11.4,50.975,33.85,15.649999999999999,12.85,Hardin County,"Hardin County, Texas",0.6465,0.5285,0.9017,0.4537,0.5256,21.5,4.6,11.1,16.5,17.2,18.6,16,0.9,4.8,0.9
48201,Harris,4835125,3595915,5.45,13.2,49.675,37.2,12.649999999999999,21.4,Harris County,"Harris County, Texas",0.9201,0.965,0.7458,0.9672,0.7089,25.7,6.4,17.9,21.2,11,10,72.4,11.2,6.7,1
48203,Harrison,70895,53891,6.5,12.850000000000001,52.7,39,15.45,14.75,Harrison County,"Harrison County, Texas",0.9036,0.7983,0.9602,0.7646,0.8008,25.5,6.1,10.7,16.3,17,17.4,38.6,2.1,6.4,2.3
48205,Hartley,5145,4012,5.9,11.4,49.575,34.4,13.4,18.9,Hartley County,"Hartley County, Texas",0.4683,0.4458,0.1346,0.7843,0.6163,12.5,1.5,15.8,21.5,16.2,10.6,40.1,1.7,2.4,27.4
48207,Haskell,5385,4416,7.25,13.600000000000001,52.275,36.75,16.55,20.5,Haskell County,"Haskell County, Texas",0.812,0.8829,0.8896,0.741,0.3563,27.8,6.3,20.5,20.4,23.4,23.3,36.4,3.4,5.2,5
48209,Hays,280486,218510,4.9,10.5,47.125,34.9,11,16.65,Hays County,"Hays County, Texas",0.6723,0.7089,0.1804,0.8673,0.7432,20.9,5.1,9.1,12.9,11.4,11.1,49.3,3.3,2.8,2.9
48211,Hemphill,3189,2336,5.55,10.649999999999999,49.075,32.95,11.899999999999999,16.85,Hemphill County,"Hemphill County, Texas",0.5577,0.3818,0.9033,0.7668,0.3182,11.7,4.1,11.4,18.2,18.8,18.9,38.8,8.2,3.6,1.5
48213,Henderson,86158,67684,7.15,12.9,53.1,35.5,16.35,15.3,Henderson County,"Henderson County, Texas",0.8291,0.8361,0.6542,0.5953,0.8186,27.3,5.5,13.3,18.7,22.2,17.8,24.2,1.3,5.4,1.7
48215,Hidalgo,898471,624451,6.55,17.549999999999997,50.15,44.6,13.55,37.45,Hidalgo County,"Hidalgo County, Texas",0.9841,0.999,0.8855,0.9975,0.7515,41.9,7.6,31.4,31,11.2,12.1,94.3,17.9,5.6,1
48217,Hill,38101,29280,6.85,12.85,52.1,36.95,15.45,17,Hill County,"Hill County, Texas",0.8562,0.7292,0.945,0.6806,0.7779,23.4,4.5,14.4,17.9,20.5,17.4,31.2,2.6,5.5,2.6
48219,Hockley,21460,15783,6.300000000000001,13.5,50.3,36.25,14.6,23.5,Hockley County,"Hockley County, Texas",0.93,0.8365,0.9494,0.8941,0.8311,27,5.3,20.5,20,15,15.7,55.4,4.2,5.9,2.9
48221,Hood,67774,53986,6.2,10.85,51.1,33.3,12.2,12.1,Hood County,"Hood County, Texas",0.525,0.5243,0.4244,0.4871,0.559,15.4,5.8,7.6,14.4,25.2,12.9,17.6,1.9,2.5,1.4
