,,,Population Health and Well-being,,,Community Conditions,,
FIPS,State,County,National Z-Score,Health Group,Health Group Range,National Z-Score,Health Group,Health Group Range
48245,Texas,Jefferson,0.52,6,0.28 to 0.6,0.55,8,0.47 to 0.72
48247,Texas,Jim Hogg,1.17,8,0.96 to 1.38,1.23,10,1.09 to 1.98
48249,Texas,Jim Wells,0.91,7,0.6 to 0.95,1.00,9,0.73 to 1.09
48251,Texas,Johnson,-0.46,3,-0.71 to -0.38,0.07,6,0.03 to 0.24
48253,Texas,Jones,0.21,5,-0.05 to 0.27,0.56,8,0.47 to 0.72
48255,Texas,Karnes,0.02,5,-0.05 to 0.27,0.70,8,0.47 to 0.72
48257,Texas,Kaufman,-0.24,4,-0.38 to -0.06,-0.08,5,-0.17 to 0.03
48259,Texas,Kendall,-1.08,1,-1.81 to -1.08,-0.50,3,-0.58 to -0.37
48261,Texas,Kenedy,,,,,,
48263,Texas,Kent,,,,,,
48265,Texas,Kerr,-0.10,4,-0.38 to -0.06,-0.05,5,-0.17 to 0.03
48267,Texas,Kimble,-0.02,5,-0.05 to 0.27,0.35,7,0.24 to 0.46
48269,Texas,King,,,,,,
48271,Texas,Kinney,-0.13,4,-0.38 to -0.06,0.24,6,0.03 to 0.24
48273,Texas,Kleberg,0.22,5,-0.05 to 0.27,0.82,9,0.73 to 1.09
48275,Texas,Knox,0.64,7,0.6 to 0.95,0.22,6,0.03 to 0.24
48277,Texas,Lamar,0.37,6,0.28 to 0.6,0.48,8,0.47 to 0.72
48279,Texas,Lamb,0.56,6,0.28 to 0.6,0.49,8,0.47 to 0.72
48281,Texas,Lampasas,-0.15,4,-0.38 to -0.06,0.00,5,-0.17 to 0.03
48283,Texas,La Salle,0.74,7,0.6 to 0.95,0.67,8,0.47 to 0.72
48285,Texas,Lavaca,-0.44,3,-0.71 to -0.38,0.08,6,0.03 to 0.24
48287,Texas,Lee,-0.14,4,-0.38 to -0.06,0.44,7,0.24 to 0.46
48289,Texas,Leon,0.33,6,0.28 to 0.6,0.39,7,0.24 to 0.46
48291,Texas,Liberty,0.42,6,0.28 to 0.6,0.80,9,0.73 to 1.09
48293,Texas,Limestone,0.71,7,0.6 to 0.95,0.56,8,0.47 to 0.72
48295,Texas,Lipscomb,-0.20,4,-0.38 to -0.06,0.08,6,0.03 to 0.24
48297,Texas,Live Oak,0.02,5,-0.05 to 0.27,0.75,9,0.73 to 1.09
48299,Texas,Llano,-0.04,5,-0.05 to 0.27,0.20,6,0.03 to 0.24
48301,Texas,Loving,,,,,,
48303,Texas,Lubbock,0.10,5,-0.05 to 0.27,-0.07,5,-0.17 to 0.03
48305,Texas,Lynn,0.74,7,0.6 to 0.95,0.29,7,0.24 to 0.46
48307,Texas,McCulloch,0.51,6,0.28 to 0.6,0.53,8,0.47 to 0.72
48309,Texas,McLennan,-0.05,5,-0.05 to 0.27,0.18,6,0.03 to 0.24
48311,Texas,McMullen,,,,,,
48313,Texas,Madison,0.29,6,0.28 to 0.6,0.71,8,0.47 to 0.72
48315,Texas,Marion,0.76,7,0.6 to 0.95,0.70,8,0.47 to 0.72
48317,Texas,Martin,0.56,6,0.28 to 0.6,0.52,8,0.47 to 0.72
48319,Texas,Mason,-0.24,4,-0.38 to -0.06,-0.14,5,-0.17 to 0.03
48321,Texas,Matagorda,0.45,6,0.28 to 0.6,0.98,9,0.73 to 1.09
48323,Texas,Maverick,0.54,6,0.28 to 0.6,1.36,10,1.09 to 1.98
48325,Texas,Medina,-0.26,4,-0.38 to -0.06,0.14,6,0.03 to 0.24
48327,Texas,Menard,0.47,6,0.28 to 0.6,0.45,7,0.24 to 0.46
48329,Texas,Midland,-0.36,4,-0.38 to -0.06,-0.12,5,-0.17 to 0.03
48331,Texas,Milam,-0.06,4,-0.38 to -0.06,0.45,7,0.24 to 0.46
48333,Texas,Mills,-0.60,3,-0.71 to -0.38,0.29,7,0.24 to 0.46
48335,Texas,Mitchell,0.35,6,0.28 to 0.6,0.42,7,0.24 to 0.46
48337,Texas,Montague,0.49,6,0.28 to 0.6,0.35,7,0.24 to 0.46
48339,Texas,Montgomery,-0.75,2,-1.07 to -0.71,-0.07,5,-0.17 to 0.03
48341,Texas,Moore,0.11,5,-0.05 to 0.27,0.39,7,0.24 to 0.46
48343,Texas,Morris,0.74,7,0.6 to 0.95,0.50,8,0.47 to 0.72
48345,Texas,Motley,-0.03,5,-0.05 to 0.27,0.38,7,0.24 to 0.46
48347,Texas,Nacogdoches,0.19,5,-0.05 to 0.27,0.41,7,0.24 to 0.46
48349,Texas,Navarro,0.34,6,0.28 to 0.6,0.59,8,0.47 to 0.72
48351,Texas,Newton,1.13,8,0.96 to 1.38,0.95,9,0.73 to 1.09
48353,Texas,Nolan,0.19,5,-0.05 to 0.27,0.45,7,0.24 to 0.46
48355,Texas,Nueces,0.34,6,0.28 to 0.6,0.30,7,0.24 to 0.46
48357,Texas,Ochiltree,0.08,5,-0.05 to 0.27,0.17,6,0.03 to 0.24
48359,Texas,Oldham,0.12,5,-0.05 to 0.27,-0.03,5,-0.17 to 0.03
48361,Texas,Orange,0.41,6,0.28 to 0.6,0.31,7,0.24 to 0.46
48363,Texas,Palo Pinto,0.11,5,-0.05 to 0.27,0.45,7,0.24 to 0.46
48365,Texas,Panola,0.52,6,0.28 to 0.6,0.53,8,0.47 to 0.72
48367,Texas,Parker,-0.71,2,-1.07 to -0.71,-0.20,4,-0.37 to -0.17
48369,Texas,Parmer,-0.19,4,-0.38 to -0.06,0.20,6,0.03 to 0.24
48371,Texas,Pecos,0.56,6,0.28 to 0.6,0.74,9,0.73 to 1.09
48373,Texas,Polk,0.63,7,0.6 to 0.95,0.71,8,0.47 to 0.72
48375,Texas,Potter,0.84,7,0.6 to 0.95,0.30,7,0.24 to 0.46
48377,Texas,Presidio,-0.10,4,-0.38 to -0.06,0.93,9,0.73 to 1.09
48379,Texas,Rains,-0.16,4,-0.38 to -0.06,0.19,6,0.03 to 0.24
48381,Texas,Randall,-0.55,3,-0.71 to -0.38,-0.64,2,-0.81 to -0.58
48383,Texas,Reagan,-0.35,4,-0.38 to -0.06,-0.04,5,-0.17 to 0.03
48385,Texas,Real,0.29,6,0.28 to 0.6,0.82,9,0.73 to 1.09
48387,Texas,Red River,1.50,9,1.39 to 1.93,0.84,9,0.73 to 1.09
48389,Texas,Reeves,0.28,6,0.28 to 0.6,0.80,9,0.73 to 1.09
48391,Texas,Refugio,0.18,5,-0.05 to 0.27,0.84,9,0.73 to 1.09
48393,Texas,Roberts,,,,,,
48395,Texas,Robertson,0.09,5,-0.05 to 0.27,0.47,8,0.47 to 0.72
48397,Texas,Rockwall,-1.13,1,-1.81 to -1.08,-0.77,2,-0.81 to -0.58
48399,Texas,Runnels,0.42,6,0.28 to 0.6,0.33,7,0.24 to 0.46
48401,Texas,Rusk,0.05,5,-0.05 to 0.27,0.44,7,0.24 to 0.46
48403,Texas,Sabine,1.08,8,0.96 to 1.38,0.70,8,0.47 to 0.72
48405,Texas,San Augustine,1.03,8,0.96 to 1.38,1.04,9,0.73 to 1.09
48407,Texas,San Jacinto,0.65,7,0.6 to 0.95,0.67,8,0.47 to 0.72
48409,Texas,San Patricio,0.37,6,0.28 to 0.6,0.64,8,0.47 to 0.72
48411,Texas,San Saba,-0.10,4,-0.38 to -0.06,0.28,7,0.24 to 0.46
48413,Texas,Schleicher,0.27,5,-0.05 to 0.27,0.13,6,0.03 to 0.24
48415,Texas,Scurry,0.36,6,0.28 to 0.6,0.04,6,0.03 to 0.24
48417,Texas,Shackelford,0.01,5,-0.05 to 0.27,-0.09,5,-0.17 to 0.03
48419,Texas,Shelby,0.76,7,0.6 to 0.95,0.76,9,0.73 to 1.09
48421,Texas,Sherman,-0.19,4,-0.38 to -0.06,0.02,5,-0.17 to 0.03
48423,Texas,Smith,-0.16,4,-0.38 to -0.06,-0.05,5,-0.17 to 0.03
48425,Texas,Somervell,-0.66,3,-0.71 to -0.38,-0.29,4,-0.37 to -0.17
48427,Texas,Starr,0.73,7,0.6 to 0.95,1.98,10,1.09 to 1.98
48429,Texas,Stephens,0.45,6,0.28 to 0.6,0.40,7,0.24 to 0.46
48431,Texas,Sterling,,,,,,
48433,Texas,Stonewall,0.63,7,0.6 to 0.95,0.24,6,0.03 to 0.24
48435,Texas,Sutton,0.19,5,-0.05 to 0.27,0.32,7,0.24 to 0.46
48437,Texas,Swisher,0.97,8,0.96 to 1.38,0.84,9,0.73 to 1.09
48439,Texas,Tarrant,-0.41,3,-0.71 to -0.38,-0.02,5,-0.17 to 0.03
48441,Texas,Taylor,0.09,5,-0.05 to 0.27,-0.16,5,-0.17 to 0.03
48443,Texas,Terrell,,,,,,
48445,Texas,Terry,0.77,7,0.6 to 0.95,0.79,9,0.73 to 1.09
48447,Texas,Throckmorton,0.11,5,-0.05 to 0.27,0.07,6,0.03 to 0.24
48449,Texas,Titus,0.13,5,-0.05 to 0.27,0.55,8,0.47 to 0.72
48451,Texas,Tom Green,-0.09,4,-0.38 to -0.06,-0.11,5,-0.17 to 0.03
48453,Texas,Travis,-0.96,2,-1.07 to -0.71,-0.39,3,-0.58 to -0.37
48455,Texas,Trinity,0.55,6,0.28 to 0.6,0.56,8,0.47 to 0.72
48457,Texas,Tyler,0.69,7,0.6 to 0.95,0.89,9,0.73 to 1.09
48459,Texas,Upshur,0.24,5,-0.05 to 0.27,0.30,7,0.24 to 0.46
48461,Texas,Upton,0.48,6,0.28 to 0.6,0.44,7,0.24 to 0.46
48463,Texas,Uvalde,0.58,6,0.28 to 0.6,0.72,8,0.47 to 0.72
48465,Texas,Val Verde,-0.10,4,-0.38 to -0.06,0.87,9,0.73 to 1.09
48467,Texas,Van Zandt,0.07,5,-0.05 to 0.27,0.17,6,0.03 to 0.24
48469,Texas,Victoria,0.12,5,-0.05 to 0.27,0.28,7,0.24 to 0.46
48471,Texas,Walker,-0.09,4,-0.38 to -0.06,0.51,8,0.47 to 0.72
48473,Texas,Waller,-0.30,4,-0.38 to -0.06,0.42,7,0.24 to 0.46
48475,Texas,Ward,0.46,6,0.28 to 0.6,0.39,7,0.24 to 0.46
48477,Texas,Washington,-0.31,4,-0.38 to -0.06,0.10,6,0.03 to 0.24
48479,Texas,Webb,-0.07,4,-0.38 to -0.06,0.93,9,0.73 to 1.09
48481,Texas,Wharton,0.29,6,0.28 to 0.6,0.53,8,0.47 to 0.72
48483,Texas,Wheeler,0.46,6,0.28 to 0.6,0.19,6,0.03 to 0.24
48485,Texas,Wichita,0.10,5,-0.05 to 0.27,0.07,6,0.03 to 0.24
48487,Texas,Wilbarger,0.76,7,0.6 to 0.95,0.68,8,0.47 to 0.72
48489,Texas,Willacy,0.75,7,0.6 to 0.95,1.67,10,1.09 to 1.98
48491,Texas,Williamson,-1.09,1,-1.81 to -1.08,-0.73,2,-0.81 to -0.58
48493,Texas,Wilson,-0.41,3,-0.71 to -0.38,-0.13,5,-0.17 to 0.03
48495,Texas,Winkler,0.87,7,0.6 to 0.95,0.42,7,0.24 to 0.46
48497,Texas,Wise,-0.40,3,-0.71 to -0.38,0.14,6,0.03 to 0.24
48499,Texas,Wood,0.07,5,-0.05 to 0.27,0.31,7,0.24 to 0.46
48501,Texas,Yoakum,0.46,6,0.28 to 0.6,0.23,6,0.03 to 0.24
48503,Texas,Young,0.23,5,-0.05 to 0.27,-0.07,5,-0.17 to 0.03
48505,Texas,Zapata,0.35,6,0.28 to 0.6,1.75,10,1.09 to 1.98
48507,Texas,Zavala,1.21,8,0.96 to 1.38,1.25,10,1.09 to 1.98
