county_fips,svi_county,svi_location,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur,ep_age65,ep_disabl,ep_minrty,ep_limeng,ep_noveh,ep_groupq
48197,Hardeman County,"Hardeman County, Texas",0.4222,0.3952,0.874,0.735,0.0668,21.3,2.5,15,14.9,20,21.4,35.9,4.6,4.1,0.9
48199,Hardin County,"Hardin County, Texas",0.6465,0.5285,0.9017,0.4537,0.5256,21.5,4.6,11.1,16.5,17.2,18.6,16,0.9,4.8,0.9
48201,Harris County,"Harris County, Texas",0.9201,0.965,0.7458,0.9672,0.7089,25.7,6.4,17.9,21.2,11,10,72.4,11.2,6.7,1
48203,Harrison County,"Harrison County, Texas",0.9036,0.7983,0.9602,0.7646,0.8008,25.5,6.1,10.7,16.3,17,17.4,38.6,2.1,6.4,2.3
48205,Hartley County,"Hartley County, Texas",0.4683,0.4458,0.1346,0.7843,0.6163,12.5,1.5,15.8,21.5,16.2,10.6,40.1,1.7,2.4,27.4
48207,Haskell County,"Haskell County, Texas",0.812,0.8829,0.8896,0.741,0.3563,27.8,6.3,20.5,20.4,23.4,23.3,36.4,3.4,5.2,5
48209,Hays County,"Hays County, Texas",0.6723,0.7089,0.1804,0.8673,0.7432,20.9,5.1,9.1,12.9,11.4,11.1,49.3,3.3,2.8,2.9
48211,Hemphill County,"Hemphill County, Texas",0.5577,0.3818,0.9033,0.7668,0.3182,11.7,4.1,11.4,18.2,18.8,18.9,38.8,8.2,3.6,1.5
48213,Henderson County,"Henderson County, Texas",0.8291,0.8361,0.6542,0.5953,0.8186,27.3,5.5,13.3,18.7,22.2,17.8,24.2,1.3,5.4,1.7
48215,Hidalgo County,"Hidalgo County, Texas",0.9841,0.999,0.8855,0.9975,0.7515,41.9,7.6,31.4,31,11.2,12.1,94.3,17.9,5.6,1
48217,Hill County,"Hill County, Texas",0.8562,0.7292,0.945,0.6806,0.7779,23.4,4.5,14.4,17.9,20.5,17.4,31.2,2.6,5.5,2.6
48219,Hockley County,"Hockley County, Texas",0.93,0.8365,0.9494,0.8941,0.8311,27,5.3,20.5,20,15,15.7,55.4,4.2,5.9,2.9
48221,Hood County,"Hood County, Texas",0.525,0.5243,0.4244,0.4871,0.559,15.4,5.8,7.6,14.4,25.2,12.9,17.6,1.9,2.5,1.4
48223,Hopkins County,"Hopkins County, Texas",0.7525,0.7811,0.7296,0.6449,0.5488,24,4.8,15.1,18.8,18.3,14.3,28.2,2.9,4.1,1.4
48225,Houston County,"Houston County, Texas",0.9625,0.9195,0.8699,0.7836,0.9672,33.1,4.5,17.6,16.3,22.1,22.4,40,1.3,7.8,13.7
48227,Howard County,"Howard County, Texas",0.8816,0.777,0.7684,0.8877,0.9224,24.7,5.2,19,16.6,12.7,16.2,54,5.8,5.2,11.8
48229,Hudspeth County,"Hudspeth County, Texas",0.9943,0.985,0.8603,0.9863,0.9835,43.7,8.2,45.1,29,11,32.3,83.6,32.1,8.2,26.9
48231,Hunt County,"Hunt County, Texas",0.8746,0.825,0.7038,0.6828,0.9322,22.7,5.8,12.3,16.3,15.9,15.4,31.3,2.3,4.8,3
48233,Hutchinson County,"Hutchinson County, Texas",0.3245,0.4416,0.6421,0.6872,0.0452,17.7,4.3,14.1,15.6,17.2,16.6,31.6,1.3,4.2,0.9
48235,Irion County,"Irion County, Texas",0.2962,0.4047,0.2838,0.6389,0.1549,11.7,1.3,11.2,22.2,19.4,13,27.7,0.3,0.6,0
48237,Jack County,"Jack County, Texas",0.9418,0.9491,0.7191,0.5927,0.9691,28.4,8.2,20.4,18.6,17.3,13.8,24.1,2.6,10.8,12
48239,Jackson County,"Jackson County, Texas",0.8094,0.7385,0.8333,0.8059,0.664,23.2,5.5,19.4,15.3,19.3,15,42.6,3.3,6.7,1.4
48241,Jasper County,"Jasper County, Texas",0.8737,0.8979,0.6271,0.6223,0.9074,33.8,12.5,12.7,20.1,20.5,13.9,26.3,0.7,5.9,2.9
